Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify_Playlists,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer_Playlist,Deezer Playlist Reach,Amazon_Playlists,Pandora Streams,Pandora_Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Country
Million Dollar Baby,Million Dollar Baby - Single,Tommy Richman,2024-04-26,1.0,725.4,390470936.0,30716.0,196631588.0,92.0,84274754.0,1713126.0,5767700.0,651565900.0,5332281936.0,150597040.0,210.0,"40,975",684.0,62.0,17598718.0,114.0,18004655.0,22931.0,4818457.0,2669262.0,0,QM
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,2.0,545.9,323703884.0,28113.0,174597137.0,92.0,116347040.0,3486739.0,674700.0,35223547.0,208339025.0,156380351.0,188.0,"40,778",3.0,67.0,10422430.0,111.0,7780028.0,28444.0,6623075.0,1118279.0,1,US
I Like The Way You Kiss Me,I Like The Way You Kiss Me,Artemas,2024-03-19,3.0,538.4,601309283.0,54331.0,211607669.0,92.0,122599116.0,2228730.0,3025400.0,275154237.0,3369120610.0,373784955.0,190.0,"74,333",536.0,136.0,36321847.0,172.0,5022621.0,5639.0,7208651.0,5285340.0,0,QZ
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,4.0,444.9,2031280633.0,269802.0,136569078.0,85.0,1096100899.0,10629796.0,7189811.0,1078757968.0,14603725994.0,3351188582.0,394.0,"1,474,799",2182.0,264.0,24684248.0,210.0,190260277.0,203384.0,0.0,11822942.0,0,US
Houdini,Houdini,Eminem,2024-05-31,5.0,423.3,107034922.0,7223.0,151469874.0,88.0,77373957.0,3670188.0,16400.0,0.0,0.0,112763851.0,182.0,"12,185",1.0,82.0,17660624.0,105.0,4493884.0,7006.0,207179.0,457017.0,1,US
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,6.0,410.1,670665438.0,105892.0,175421034.0,83.0,131148091.0,1392593.0,4202367.0,214943489.0,2938686633.0,2867222632.0,138.0,"522,042",4654.0,86.0,17167254.0,152.0,138529362.0,50982.0,9438601.0,4517131.0,1,US
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,7.0,407.2,900158751.0,73118.0,201585714.0,86.0,308723145.0,4120760.0,0.0,29584940.0,534915313.0,4601579812.0,280.0,"383,478",429.0,168.0,48197850.0,154.0,65447476.0,57372.0,0.0,9990302.0,0,US
Gata Only,Gata Only,Floyymenor,2024-02-02,8.0,375.8,675079153.0,40094.0,211236940.0,92.0,228382568.0,1439495.0,3500000.0,338546668.0,3804584163.0,2112581620.0,160.0,"17,221",30.0,87.0,33245595.0,53.0,3372428.0,5762.0,0.0,6063523.0,1,QZ
Band4Band (Feat. Lil Baby),Band4Band (Feat. Lil Baby),Central Cee,2024-05-23,10.0,330.6,90676573.0,10400.0,184199419.0,86.0,32735244.0,988682.0,325800.0,121574500.0,974656200.0,174706874.0,191.0,"3,823",117.0,78.0,10800098.0,92.0,1005626.0,842.0,3679709.0,666302.0,1,US
I Had Some Help (Feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,11.0,322.1,250080413.0,16219.0,168766158.0,91.0,32229063.0,550191.0,0.0,184500.0,2100000.0,327130768.0,157.0,"62,312",71.0,60.0,12009073.0,114.0,23155471.0,21172.0,1594605.0,963413.0,1,US
